codigo_ibge,municipio,uf,dia,mes,data_referencia,criterio,confianca,campo_origem,frase_origem,fonte_historico,status_consulta
5203939,Buriti de Goiás,GO,29,4,29/04/1992,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Buriti de Goiás, pela Lei Estadual n.º 11.702, de 29-04-1992, desmembrado de Mossâmedes.",Buriti de Goiás (GO). Prefeitura. 2017 Disponível em: http://www.buritidegoias.go.gov.br/historia_cidade.php. Acesso em: mar. 2017.,ok
5203962,Buritinópolis,GO,29,4,29/04/1992,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Buritinópolis, pela Lei Estadual n.º 11.705, de 29-04-1992, desmembrado de Mambaí.",BURITINÓPOLIS (GO). Prefeitura. [200?].,ok
5204003,Cabeceiras,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cabeceiras, pela Lei Estadual n.º 2.102, de 14-11-1958, desmembrado de Formosa.",Cabeceiras (GO). Prefeitura. 2017. Disponível em: http://www.cabeceiras.go.gov.br/pages/historia.php . Acesso em: abr. 2017.,ok
5204102,Cachoeira Alta,GO,13,11,13/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cachoeira Alta, pela Lei Estadual n.º 954, de 13-11-1953, complementada pela Lei Estadual n.º 1.274, de 14-12-1953, desmembrado de Rio Verde.",Cachoeira Alta (GO). Prefeitura. 2017. Disponível em: http://www.prefeituradecachoeiraalta.go.gov.br. Acesso em: maio 2017.,ok
5204201,Cachoeira de Goiás,GO,10,11,10/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cachoeira de Goiás, pela Lei Estadual n.º 878, de 10-11-1953, desmembrado de Aurilândia.",Cachoeira de Goiás (GO). Câmara Municipal. 2017. Disponivel em: http://camaracachoeiradegoias.go.gov.br/a-camara/historia-da-cidade. Acesso em: mar. 2017.,ok
5204250,Cachoeira Dourada,GO,14,5,14/05/1982,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cachoeira Dourada, pela Lei Estadual n.º 9.190, de 14-05-1982, desmembrado de Itumbiara.",Cachoeira Dourada (GO). Prefeitura. 2017. Disponível em: http://cachoeiradourada.go.gov.br/portal/historia-do-muncipio. Acesso em fev. 2018.,ok
5204300,Caçu,GO,16,9,16/09/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Caçu, pela Lei n.º 772, de 16-09-1953 complementada pela Lei n.º 1.274, de 14-12-1953, desmembrado de Jataí.",Caçu (GO). Prefeitura. 2017. Disponível em: http://www.cacu.go.gov.br/cidade/index/page/1. Acesso em: maio 2017.,ok
5204409,Caiapônia,GO,29,7,29/07/1873,elevacao_vila,alta,formacao_administrativa,"Elevado à categoria de vila com a denominação de Torres do Rio Bonito, pela Lei ou Resolução Provincial n.º 508, de 29-07-1873, desmembrado de Rio Verde.",Caiapônia (GO). Prefeitura. 2017. Disponível em: http://www.caiaponia.go.gov.br/sobre-o-municipio/nossa-historia. Acesso em: mar. 2017.,ok
5204508,Caldas Novas,GO,5,7,05/07/1911,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Caldas Novas pela Lei Estadual n.º 393, de 05-07-1911, sendo desmembrado de Morrinhos.","Caldas Novas (GO). In: ENCICLOPÉDIA dos municípios brasileiros. Rio de Janeiro: IBGE, 1958. v. 36. p. 140-145. Disponível em: http://biblioteca.ibge.gov.br/visualizacao/livros/liv27295_36.pdf. Acesso em: abr. 2018.",ok
5204557,Caldazinha,GO,29,4,29/04/1992,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Caldazinha, pela Lei Estadual n.º 11.699, de 29-04-1992, desmembrado de Bela Vista de Goiás.",Caldazinha (GO). Prefeitura. 2017 Disponivel em: http://www.caldazinha.go.gov.br/?go=cidade. Acesso em: maio 2017.,ok
